iter	Passed	Remaining
0	65	65180
1	65	32886
2	66	22168
3	67	16757
4	67	13498
5	68	11335
6	68	9786
7	70	8781
8	71	7869
9	72	7134
10	72	6529
11	73	6025
12	73	5604
13	74	5248
14	75	4943
15	75	4667
16	76	4424
17	77	4206
18	77	4010
19	78	3834
20	78	3674
21	79	3533
22	80	3400
23	80	3278
24	82	3207
25	83	3115
26	83	3022
27	88	3063
28	88	2975
29	89	2894
30	90	2815
31	90	2742
32	91	2673
33	91	2611
34	92	2550
35	93	2492
36	94	2458
37	95	2405
38	95	2354
39	96	2307
40	96	2262
41	97	2229
42	98	2188
43	98	2149
44	99	2112
45	100	2075
46	100	2039
47	101	2005
48	101	1974
49	102	1943
50	102	1913
51	103	1883
52	103	1856
53	105	1840
54	105	1817
55	106	1792
56	106	1769
57	107	1746
58	108	1724
59	109	1707
60	109	1686
61	110	1667
62	110	1647
63	111	1628
64	111	1610
65	112	1592
66	113	1574
67	113	1557
68	114	1541
69	114	1525
70	115	1509
71	116	1504
72	117	1490
73	117	1476
74	118	1462
75	119	1448
76	120	1441
77	120	1428
78	121	1415
79	121	1402
80	122	1390
81	123	1378
82	123	1363
83	123	1351
84	124	1340
85	135	1437
86	136	1429
87	137	1420
88	137	1411
89	138	1403
90	139	1394
91	141	1392
92	142	1385
93	142	1377
94	144	1372
95	145	1365
96	145	1357
97	146	1350
98	147	1344
99	148	1335
100	148	1325
101	149	1317
102	150	1308
103	151	1304
104	152	1296
105	152	1287
106	153	1279
107	154	1272
108	154	1263
109	155	1258
110	156	1250
111	156	1243
112	157	1235
113	157	1227
114	158	1220
115	159	1214
116	159	1205
117	160	1198
118	160	1191
119	161	1184
120	162	1181
121	163	1173
122	163	1166
123	164	1160
124	164	1154
125	165	1147
126	165	1140
127	166	1137
128	167	1131
129	180	1205
130	181	1200
131	181	1195
132	182	1190
133	183	1185
134	184	1180
135	185	1175
136	185	1171
137	187	1171
138	188	1167
139	189	1163
140	190	1159
141	191	1154
142	191	1149
143	192	1144
144	193	1138
145	193	1133
146	194	1128
147	195	1123
148	195	1117
149	196	1112
150	196	1106
151	198	1105
152	198	1100
153	199	1095
154	200	1090
155	200	1085
156	201	1080
157	201	1075
158	202	1071
159	203	1066
160	203	1060
161	204	1056
162	204	1051
163	205	1046
164	205	1041
165	206	1037
166	206	1032
167	207	1028
168	208	1024
169	209	1022
170	210	1018
171	210	1014
172	211	1009
173	211	1005
174	212	1000
175	213	997
176	214	995
177	214	992
178	215	989
179	216	986
180	217	983
181	218	979
182	218	976
183	219	972
184	219	968
185	221	969
186	222	967
187	223	964
188	224	961
189	225	959
190	225	956
191	226	953
192	227	950
193	228	949
194	229	946
195	230	944
196	231	941
197	232	942
198	233	939
199	234	936
200	234	933
201	235	929
202	235	926
203	236	923
204	237	920
205	238	917
206	238	914
207	239	910
208	239	907
209	240	904
210	240	901
211	241	897
212	242	894
213	242	891
214	244	891
215	244	888
216	245	885
217	245	882
218	246	879
219	247	876
220	247	873
221	248	871
222	249	867
223	249	864
224	250	862
225	250	858
226	251	856
227	251	852
228	252	849
229	253	847
230	253	844
231	254	841
232	255	842
233	256	839
234	256	836
235	257	834
236	258	831
237	259	829
238	260	828
239	260	826
240	261	823
241	262	821
242	262	818
243	263	815
244	263	813
245	264	810
246	265	808
247	265	805
248	267	805
249	267	803
250	268	800
251	268	798
252	269	796
253	270	793
254	270	791
255	271	789
256	272	787
257	272	785
258	273	782
259	274	780
260	274	777
261	275	775
262	276	773
263	276	771
264	277	769
265	277	766
266	279	766
267	279	764
268	280	761
269	280	759
270	281	757
271	282	754
272	282	753
273	283	751
274	284	748
275	284	746
276	285	744
277	286	743
278	286	741
279	287	739
280	288	737
281	288	735
282	290	735
283	290	733
284	291	731
285	292	729
286	292	727
287	293	725
288	294	723
289	294	721
290	295	719
291	295	717
292	296	715
293	297	713
294	297	711
295	298	710
296	299	707
297	299	705
298	300	704
299	301	702
300	301	701
301	302	699
302	303	697
303	303	695
304	304	693
305	304	691
306	305	690
307	306	688
308	307	686
309	307	685
310	308	683
311	309	681
312	309	679
313	310	677
314	310	675
315	310	673
316	311	671
317	312	669
318	313	668
319	313	667
320	314	665
321	315	663
322	315	661
323	316	659
324	317	658
325	318	657
326	318	656
327	319	654
328	320	652
329	320	651
330	321	649
331	321	647
332	322	645
333	323	644
334	323	642
335	325	642
336	325	640
337	326	639
338	326	637
339	327	635
340	328	633
341	329	633
342	329	631
343	330	630
344	331	628
345	331	626
346	332	625
347	332	623
348	333	621
349	333	620
350	334	618
351	335	616
352	335	614
353	336	614
354	337	613
355	337	611
356	338	609
357	339	608
358	339	606
359	340	604
360	340	603
361	341	601
362	342	600
363	342	598
364	343	597
365	344	595
366	344	594
367	345	592
368	345	591
369	346	589
370	346	587
371	347	586
372	348	586
373	349	585
374	350	584
375	353	586
376	353	584
377	354	583
378	355	581
379	355	580
380	356	579
381	356	577
382	357	576
383	358	574
384	358	573
385	359	571
386	360	571
387	361	570
388	361	568
389	362	566
390	363	565
391	363	563
392	364	562
393	365	561
394	365	560
395	366	558
396	366	557
397	367	555
398	367	554
399	368	552
400	369	551
401	370	550
402	370	549
403	372	548
404	372	547
405	373	546
406	373	544
407	374	543
408	374	541
409	375	540
410	376	539
411	376	537
412	377	536
413	378	535
414	378	534
415	379	532
416	380	531
417	380	530
418	381	528
419	381	527
420	382	525
421	382	524
422	384	523
423	384	522
424	385	521
425	385	519
426	386	518
427	386	516
428	387	515
429	388	514
430	388	513
431	389	511
432	389	510
433	390	508
434	390	507
435	391	506
436	391	504
437	392	503
438	393	502
439	393	500
440	394	499
441	395	498
442	395	497
443	396	496
444	397	495
445	397	493
446	398	492
447	398	491
448	399	489
449	399	488
450	400	487
451	400	486
452	401	484
453	401	483
454	402	482
455	403	480
456	403	479
457	404	478
458	404	477
459	405	475
460	405	474
461	407	474
462	407	473
463	408	471
464	408	470
465	409	469
466	410	468
467	410	467
468	411	466
469	412	465
470	413	463
471	413	462
472	414	461
473	414	460
474	415	459
475	416	458
476	416	456
477	417	455
478	417	454
479	418	453
480	419	452
481	420	451
482	420	450
483	421	449
484	421	448
485	422	446
486	423	445
487	423	444
488	424	443
489	425	442
490	425	441
491	426	440
492	426	438
493	427	437
494	428	436
495	428	435
496	429	434
497	430	433
498	430	432
499	431	431
500	432	430
501	432	429
502	433	428
503	434	427
504	434	426
505	435	424
506	435	423
507	436	422
508	437	421
509	437	420
510	438	419
